,general,expert
21,airlift,"{'Interpreter,0.39', 'Test,0.62', 'Parser,0.36', 'Geographic Information System ,0.52', 'Security,0.68', 'Parser,0.46', 'Multi Thread,0.62', 'Geographic Information System ,0.47', 'Input and Output,0.47', 'Multi Thread,0.37', 'Error Handling,0.49', 'Setup,0.63', 'User Interface,0.53', 'Parser,0.37', 'Parser,0.47', 'Error Handling,0.55', 'Geographic Information System ,0.55', 'Database,0.55', 'Test,0.74', 'Logging,0.52', 'Error Handling,0.69', 'Database,0.5', 'Setup,0.64', 'Software Development and IT Operations,0.54', 'Event Handling,0.77', 'Error Handling,0.58', 'Big Data,0.43', 'Event Handling,0.71', 'Event Handling,0.81', 'Parser,0.56', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Error Handling,0.53', 'Setup,0.6', 'Geographic Information System ,0.44', 'Event Handling,0.72', 'User Interface,0.59', 'Software Development and IT Operations,0.43', 'Application Performance Manager,0.51', 'Parser,0.45', 'Setup,0.61', 'Data Structure,0.49', 'Big Data,0.44', 'Test,0.51', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Error Handling,0.47', 'Setup,0.43', 'Logging,0.56', 'User Interface,0.55', 'Application Performance Manager,0.5', 'User Interface,0.58', 'Database,0.44', 'Big Data,0.37', 'Data Structure,0.6', 'Parser,0.59', 'Setup,0.5', 'Software Development and IT Operations,0.59', 'Big Data,0.51', 'Error Handling,0.7', 'Application,0.59', 'User Interface,0.67', 'Natural Language Processing,0.44', 'Test,0.61', 'Data Structure,0.56', 'Data Structure,0.53', 'Error Handling,0.43', 'Logging,0.8', 'Geographic Information System ,0.63', 'Geographic Information System ,0.41', 'Software Development and IT Operations,0.64', 'Test,0.64', 'Geographic Information System ,0.32', 'Security,0.62', 'Natural Language Processing,0.51', 'Geographic Information System ,0.5', 'Test,0.52', 'Application,0.56', 'Big Data,0.45', 'Geographic Information System ,0.43', 'Parser,0.44', 'Error Handling,0.5', 'Software Development and IT Operations,0.57', 'Error Handling,0.39', 'User Interface,0.5', 'Test,0.75', 'Software Development and IT Operations,0.53', 'Logging,0.67', 'Event Handling,0.55', 'Logging,0.6', 'Geographic Information System ,0.4', 'Data Structure,0.54', 'Event Handling,0.62', 'Setup,0.58', 'Big Data,0.63', 'Geographic Information System ,0.57', 'Geographic Information System ,0.58', 'Data Structure,0.44', 'Geographic Information System ,0.54', 'Parser,0.49', 'Software Development and IT Operations,0.6', 'User Interface,0.38', 'Event Handling,0.78', 'Software Development and IT Operations,0.67', 'Multi Thread,0.5', 'Software Development and IT Operations,0.37', 'Data Structure,0.74', 'Database,0.41', 'Parser,0.54', 'Database,0.46', 'User Interface,0.69', 'Big Data,0.35', 'Database,0.36', 'Logging,0.82', 'Logging,0.62', 'Parser,0.53', 'Data Structure,0.52', 'Database,0.72', 'Test,0.71', 'Software Development and IT Operations,0.38', 'Parser,0.31', 'Event Handling,0.45', 'Application Performance Manager,0.52', 'Test,0.6', 'Multi Thread,0.55', 'Event Handling,0.73', 'Database,0.37', 'Geographic Information System ,0.18', 'Geographic Information System ,0.51', 'Geographic Information System ,0.61', 'Database,0.7', 'Data Structure,0.43', 'Database,0.52', 'Input and Output,0.46', 'Geographic Information System ,0.42', 'Test,0.63', 'Event Handling,0.52', 'Interpreter,0.33', 'Big Data,0.59'}"
22,alluxio,"{'Error Handling,0.61', 'Error Handling,0.64', 'Event Handling,0.39', 'Data Structure,0.69', 'Data Structure,0.55', 'Error Handling,0.57', 'Big Data,0.74', 'Setup,0.51', 'Application Performance Manager,0.64', 'Logic,0.48', 'Application Performance Manager,0.66', 'User Interface,0.48', 'Input and Output,0.34', 'Parser,0.5', 'Database,0.57', 'Data Structure,0.49', 'Geographic Information System ,0.68', 'Data Structure,0.71', 'Natural Language Processing,0.26', 'Big Data,0.72', 'User Interface,0.53', 'Database,0.51', 'User Interface,0.63', 'Application Performance Manager,0.61', 'Error Handling,0.7', 'Software Development and IT Operations,0.54', 'User Interface,0.74', 'Setup,0.56', 'Data Structure,0.78', 'Application Performance Manager,0.73', 'Big Data,0.77', 'Data Structure,0.58', 'Data Structure,0.59', 'Data Structure,0.68', 'Data Structure,0.75', 'Big Data,0.59'}"
23,annotation,"{'Data Structure,0.65'}"
24,antlr,"{'Parser,0.63', 'Parser,0.62', 'Parser,0.55', 'Parser,0.54', 'Parser,0.48', 'Parser,0.45', 'Parser,0.46', 'Parser,0.44', 'Parser,0.58', 'Parser,0.65', 'Parser,0.69', 'Parser,0.61', 'Error Handling,0.63', 'Parser,0.47', 'Parser,0.57', 'Parser,0.4', 'Parser,0.39', 'Parser,0.59', 'Parser,0.41', 'Parser,0.6', 'Error Handling,0.58', 'Parser,0.67', 'Parser,0.66', 'Error Handling,0.6', 'Parser,0.51', 'Parser,0.49', 'Parser,0.56', 'Parser,0.77'}"
25,api,"{'Error Handling,0.52', 'User Interface,0.49', 'User Interface,0.64', 'Parser,0.45'}"
26,applicationinsights,"{'Data Structure,0.52', 'Application,0.65', 'Data Structure,0.58', 'Software Development and IT Operations,0.72', 'Data Structure,0.43', 'Data Structure,0.46', 'Logging,0.34', 'User Interface,0.6', 'Software Development and IT Operations,0.61', 'Data Structure,0.56', 'User Interface,0.55'}"
27,architecture,"{'Software Development and IT Operations,0.65', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.7', 'Software Development and IT Operations,0.72'}"
28,array,"{'Big Data,0.63', 'Input and Output,0.59', 'Big Data,0.61', 'Big Data,0.56', 'Big Data,0.62', 'Data Structure,0.62', 'Big Data,0.65', 'Data Structure,0.61', 'Data Structure,0.55', 'Data Structure,0.66', 'Data Structure,0.6', 'Data Structure,0.63', 'Data Structure,0.67', 'Data Structure,0.54', 'Big Data,0.64', 'Data Structure,0.57'}"
29,assertj,"{'Logic,0.58', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.56', 'Data Structure,0.61', 'Logic,0.46', 'Logic,0.43', 'Data Structure,0.66', 'Data Structure,0.63', 'Logic,0.56', 'Data Structure,0.6'}"
30,at,"{'Big Data,0.28', 'Big Data,0.52'}"
31,atop,"{'Network,0.55', 'Big Data,0.49', 'Security,0.73', 'Big Data,0.6', 'Data Structure,0.53', 'Security,0.75', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'Big Data,0.59'}"
32,au,"{'Interpreter,0.51', 'Parser,0.77'}"
33,auth,"{'Security,0.46', 'User Interface,0.49', 'User Interface,0.54', 'User Interface,0.39', 'User Interface,0.4', 'User Interface,0.47', 'User Interface,0.56', 'User Interface,0.42', 'Parser,0.34', 'User Interface,0.37', 'User Interface,0.57'}"
34,auto,"{'Software Development and IT Operations,0.52'}"
35,avro,"{'Parser,0.38', 'Data Structure,0.65', 'Parser,0.39', 'Parser,0.52', 'Data Structure,0.45', 'Parser,0.42', 'Parser,0.36', 'Data Structure,0.43', 'Data Structure,0.68', 'Data Structure,0.48', 'Data Structure,0.6', 'Parser,0.31', 'Parser,0.34'}"
36,awt,"{'Parser,0.25', 'User Interface,0.34', 'User Interface,0.43', 'User Interface,0.29', 'Internationalization,0.23', 'Error Handling,0.44', 'Parser,0.35', 'Data Structure,0.54', 'Parser,0.28', 'Error Handling,0.2', 'Parser,0.29'}"
37,benchmark,"{'Error Handling,0.53', 'Application Performance Manager,0.54', 'Data Structure,0.69', 'Data Structure,0.61', 'Data Structure,0.55', 'Input and Output,0.53', 'Test,0.68', 'Event Handling,0.7', 'Data Structure,0.66', 'Data Structure,0.63', 'Event Handling,0.67', 'Input and Output,0.63', 'Application Performance Manager,0.57', 'Test,0.51', 'Event Handling,0.68', 'Software Development and IT Operations,0.52', 'Event Handling,0.66', 'Data Structure,0.62', 'Input and Output,0.43', 'Application Performance Manager,0.5', 'Error Handling,0.55', 'Database,0.49', 'Data Structure,0.64', 'Application Performance Manager,0.52', 'Test,0.48', 'Data Structure,0.48', 'Data Structure,0.6', 'Application Performance Manager,0.61', 'Data Structure,0.7', 'Setup,0.58', 'Application Performance Manager,0.56', 'Application Performance Manager,0.62', 'Data Structure,0.58', 'Data Structure,0.68', 'Data Structure,0.53', 'Event Handling,0.72', 'Software Development and IT Operations,0.45', 'Event Handling,0.78'}"
38,block,"{'Logic,0.5', 'Language,0.52', 'Data Structure,0.37', 'Data Structure,0.46', 'Data Structure,0.48', 'Big Data,0.52', 'Data Structure,0.57'}"
39,bson,"{'Parser,0.46', 'Data Structure,0.47', 'Parser,0.33'}"
40,bytecode,"{'Interpreter,0.57', 'Natural Language Processing,0.55', 'Parser,0.36', 'Parser,0.46', 'Machine Learning,0.58', 'Error Handling,0.46', 'Parser,0.37', 'Machine Learning,0.62', 'Parser,0.47', 'Data Structure,0.57', 'Parser,0.52', 'Interpreter,0.54', 'User Interface,0.61', 'User Interface,0.68', 'User Interface,0.46', 'User Interface,0.6', 'Big Data,0.4', 'Parser,0.56', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Error Handling,0.53', 'Error Handling,0.61', 'Parser,0.42', 'Parser,0.65', 'Interpreter,0.56', 'Parser,0.38', 'Interpreter,0.46', 'Software Development and IT Operations,0.52', 'Machine Learning,0.57', 'User Interface,0.58', 'Parser,0.57', 'Input and Output,0.64', 'Error Handling,0.62', 'Parser,0.4', 'Natural Language Processing,0.48', 'Software Development and IT Operations,0.55', 'Parser,0.59', 'Error Handling,0.52', 'Parser,0.6', 'Big Data,0.39', 'Interpreter,0.53', 'Machine Learning,0.55', 'Natural Language Processing,0.58', 'Machine Learning,0.53', 'Machine Learning,0.56', 'Interpreter,0.58', 'Software Development and IT Operations,0.64', 'Machine Learning,0.52', 'Parser,0.62', 'Parser,0.55', 'Error Handling,0.44', 'Natural Language Processing,0.51', 'User Interface,0.44', 'Big Data,0.55', 'Parser,0.44', 'User Interface,0.48', 'Parser,0.5', 'Interpreter,0.38', 'Parser,0.43', 'Interpreter,0.51', 'Parser,0.41', 'Interpreter,0.36', 'Input and Output,0.54', 'Geographic Information System ,0.54', 'User Interface,0.47', 'Parser,0.49', 'Error Handling,0.51', 'Interpreter,0.41', 'Interpreter,0.49', 'Machine Learning,0.6', 'Big Data,0.53', 'Parser,0.54', 'Big Data,0.35', 'Parser,0.58', 'Parser,0.53', 'Machine Learning,0.65', 'Data Structure,0.52', 'Machine Learning,0.59', 'Natural Language Processing,0.45', 'Interpreter,0.59', 'Interpreter,0.45', 'Parser,0.39', 'Data Structure,0.51', 'Machine Learning,0.64', 'Interpreter,0.47', 'User Interface,0.79'}"
41,cache,"{'Database,0.59', 'User Interface,0.49', 'Database,0.51', 'Database,0.61', 'User Interface,0.68', 'User Interface,0.52', 'User Interface,0.5', 'User Interface,0.53', 'User Interface,0.6', 'Data Structure,0.59', 'Big Data,0.53', 'User Interface,0.55', 'Data Structure,0.53', 'User Interface,0.58'}"
42,caliper,"{'Setup,0.55', 'Error Handling,0.58', 'Test,0.42', 'Setup,0.44', 'Setup,0.33', 'Setup,0.3'}"
43,cassandra,"{'Error Handling,0.53', 'Database,0.41', 'Test,0.4', 'Database,0.38', 'Error Handling,0.5', 'Data Structure,0.52', 'Error Handling,0.49', 'Parser,0.38', 'Big Data,0.65', 'Big Data,0.34', 'Error Handling,0.33', 'Parser,0.37', 'Data Structure,0.57', 'Database,0.3', 'Database,0.51', 'Database,0.27', 'Big Data,0.42', 'Big Data,0.6', 'Database,0.39', 'Data Structure,0.56', 'Database,0.31', 'Big Data,0.64'}"
44,checkerframework,"{'Error Handling,0.52', 'Error Handling,0.48'}"
45,clearspring,"{'Big Data,0.62', 'Big Data,0.54', 'Big Data,0.61'}"
46,cli,"{'Database,0.59', 'Parser,0.3', 'Parser,0.29', 'Software Development and IT Operations,0.44', 'Input and Output,0.74', 'Test,0.61', 'User Interface,0.52', 'User Interface,0.5', 'User Interface,0.56', 'Parser,0.51', 'User Interface,0.44', 'Application Performance Manager,0.61', 'Parser,0.45', 'Logic,0.52', 'Parser,0.68', 'Software Development and IT Operations,0.53'}"
47,client,"{'Language,0.69', 'Software Development and IT Operations,0.66', 'Database,0.73', 'Application Performance Manager,0.63', 'Parser,0.42', 'Application Performance Manager,0.58', 'User Interface,0.59', 'Setup,0.51', 'Application Performance Manager,0.64', 'Application Performance Manager,0.7', 'Application Performance Manager,0.66', 'User Interface,0.57', 'Application Performance Manager,0.57', 'Database,0.57', 'User Interface,0.7', 'Application Performance Manager,0.67', 'User Interface,0.66', 'Software Development and IT Operations,0.68', 'Database,0.53', 'Application Performance Manager,0.6', 'User Interface,0.56', 'Error Handling,0.71', 'Application Performance Manager,0.55', 'User Interface,0.55', 'User Interface,0.58', 'Software Development and IT Operations,0.58', 'Error Handling,0.62', 'User Interface,0.51', 'Application Performance Manager,0.52', 'User Interface,0.39', 'Error Handling,0.74', 'Application Performance Manager,0.59', 'Software Development and IT Operations,0.55', 'Application Performance Manager,0.68', 'Database,0.67', 'Application Performance Manager,0.61', 'Big Data,0.52', 'User Interface,0.61', 'User Interface,0.75', 'Geographic Information System ,0.61', 'Application Performance Manager,0.71', 'User Interface,0.62', 'Application Performance Manager,0.62', 'User Interface,0.68', 'Software Development and IT Operations,0.6', 'Application Performance Manager,0.56'}"
48,cloud,"{'Cloud,0.86', 'Cloud,0.74', 'Big Data,0.8', 'Big Data,0.76', 'Cloud,0.84', 'Big Data,0.62', 'Cloud,0.64', 'Cloud,1.0', 'Cloud,0.82', 'Big Data,0.75', 'Big Data,0.78', 'Cloud,0.7', 'Big Data,0.61', 'Cloud,0.77', 'Cloud,0.69', 'Cloud,0.67', 'Database,0.55', 'Cloud,0.59', 'Cloud,0.79', 'Cloud,0.78', 'Cloud,0.8', 'Cloud,0.71', 'Big Data,0.6', 'Cloud,0.62', 'Cloud,0.73', 'Big Data,0.77', 'Cloud,0.68', 'Cloud,0.72', 'Cloud,0.58', 'Data Structure,0.68', 'Cloud,0.75', 'Cloud,0.83'}"
49,codegen,"{'Parser,0.39'}"
50,common,"{'Input and Output,0.59', 'Test,0.62', 'Software Development and IT Operations,0.74', 'Data Structure,0.69', 'Application,0.75', 'Test,0.79', 'Input and Output,0.58', 'Data Structure,0.45', 'Natural Language Processing,0.55', 'Test,0.77', 'Geographic Information System ,0.52', 'Test,0.7', 'Input and Output,0.41', 'Big Data,0.69', 'Test,0.54', 'Machine Learning,0.58', 'Data Structure,0.71', 'Geographic Information System ,0.47', 'Data Structure,0.42', 'Big Data,0.61', 'Input and Output,0.47', 'Error Handling,0.49', 'Software Development and IT Operations,0.68', 'Big Data,0.58', 'Error Handling,0.46', 'Test,0.57', 'Test,0.69', 'User Interface,0.53', 'Software Development and IT Operations,0.46', 'Error Handling,0.71', 'Error Handling,0.55', 'Data Structure,0.57', 'Geographic Information System ,0.55', 'Big Data,0.47', 'User Interface,0.65', 'Test,0.82', 'Parser,0.52', 'Software Development and IT Operations,0.7', 'Utility,0.49', 'Input and Output,0.71', 'Software Development and IT Operations,0.71', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'User Interface,0.61', 'Natural Language Processing,0.61', 'Input and Output,0.48', 'Natural Language Processing,0.52', 'Data Structure,0.65', 'Input and Output,0.76', 'Big Data,0.6', 'Logging,0.55', 'Search,0.57', 'Big Data,0.43', 'Utility,0.37', 'User Interface,0.6', 'Test,0.5', 'Error Handling,0.56', 'Natural Language Processing,0.54', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Input and Output,0.79', 'Big Data,0.57', 'Error Handling,0.61', 'Error Handling,0.53', 'Software Development and IT Operations,0.66', 'Test,0.72', 'Geographic Information System ,0.44', 'Test,0.73', 'Application,0.7', 'Data Structure,0.55', 'Software Development and IT Operations,0.43', 'Natural Language Processing,0.64', 'User Interface,0.59', 'Error Handling,0.57', 'Utility,0.38', 'Data Structure,0.67', 'Logic,0.56', 'Data Structure,0.49', 'Big Data,0.44', 'Error Handling,0.59', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Application,0.61', 'User Interface,0.56', 'Error Handling,0.47', 'Geographic Information System ,0.59', 'Natural Language Processing,0.49', 'User Interface,0.55', 'Utility,0.4', 'Utility,0.47', 'Input and Output,0.61', 'Geographic Information System ,0.53', 'User Interface,0.58', 'Input and Output,0.44', 'Data Structure,0.47', 'Input and Output,0.64', 'Error Handling,0.62', 'Big Data,0.71', 'Geographic Information System ,0.62', 'Input and Output,0.74', 'Natural Language Processing,0.56', 'Big Data,0.7', 'Big Data,0.48', 'Data Structure,0.72', 'Data Structure,0.6', 'Software Development and IT Operations,0.55', 'Input and Output,0.62', 'Parser,0.59', 'Software Development and IT Operations,0.5', 'Software Development and IT Operations,0.59', 'Big Data,0.51', 'Natural Language Processing,0.63', 'Test,0.67', 'Error Handling,0.75', 'Error Handling,0.65', 'User Interface,0.67', 'Natural Language Processing,0.44', 'Test,0.61', 'Test,0.66', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Input and Output,0.65', 'Data Structure,0.68', 'Data Structure,0.56', 'Natural Language Processing,0.58', 'Data Structure,0.53', 'Geographic Information System ,0.65', 'Natural Language Processing,0.62', 'Test,0.56', 'Geographic Information System ,0.66', 'Error Handling,0.36', 'Software Development and IT Operations,0.73', 'Natural Language Processing,0.57', 'Big Data,0.56', 'Geographic Information System ,0.63', 'Input and Output,0.55', 'Input and Output,0.49', 'Data Structure,0.61', 'Software Development and IT Operations,0.64', 'Test,0.64', 'Multi Thread,0.38', 'Data Structure,0.66', 'Natural Language Processing,0.51', 'Geographic Information System ,0.5', 'Big Data,0.54', 'Test,0.52', 'Error Handling,0.44', 'Big Data,0.45', 'Big Data,0.55', 'Parser,0.44', 'Error Handling,0.5', 'Logic,0.63', 'Parser,0.5', 'Database,0.59', 'Error Handling,0.67', 'Error Handling,0.63', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Big Data,0.65', 'User Interface,0.5', 'Parser,0.43', 'Software Development and IT Operations,0.58', 'Machine Learning,0.61', 'Utility,0.42', 'Software Development and IT Operations,0.53', 'Natural Language Processing,0.5', 'Error Handling,0.72', 'Test,0.65', 'Natural Language Processing,0.47', 'Utility,0.45', 'Data Structure,0.54', 'Data Structure,0.48', 'Error Handling,0.74', 'Big Data,0.67', 'Input and Output,0.56', 'Data Structure,0.7', 'Error Handling,0.79', 'Geographic Information System ,0.6', 'Input and Output,0.57', 'Big Data,0.63', 'Geographic Information System ,0.57', 'Geographic Information System ,0.58', 'Logic,0.51', 'Input and Output,0.54', 'Search,0.47', 'Input and Output,0.6', 'Data Structure,0.44', 'Geographic Information System ,0.7', 'Geographic Information System ,0.54', 'Machine Learning,0.51', 'Logic,0.65', 'Geographic Information System ,0.74', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.67', 'Geographic Information System ,0.67', 'Geographic Information System ,0.39', 'Error Handling,0.64', 'Big Data,0.62', 'Natural Language Processing,0.46', 'Input and Output,0.51', 'Test,0.68', 'Event Handling,0.69', 'Natural Language Processing,0.59', 'Data Structure,0.63', 'Big Data,0.53', 'Logic,0.55', 'Big Data,0.49', 'Geographic Information System ,0.68', 'Logic,0.58', 'Data Structure,0.52', 'Multi Thread,0.59', 'Input and Output,0.72', 'Natural Language Processing,0.6', 'Natural Language Processing,0.53', 'Natural Language Processing,0.41', 'Test,0.71', 'Utility,0.51', 'Machine Learning,0.59', 'Logic,0.49', 'Natural Language Processing,0.45', 'Data Structure,0.64', 'Geographic Information System ,0.72', 'Test,0.6', 'Geographic Information System ,0.56', 'Data Structure,0.51', 'Multi Thread,0.63', 'Software Development and IT Operations,0.47', 'Geographic Information System ,0.69', 'Error Handling,0.48', 'Geographic Information System ,0.61', 'Data Structure,0.5', 'Test,0.59', 'Geographic Information System ,0.71', 'Big Data,0.66', 'Software Development and IT Operations,0.49', 'Geographic Information System ,0.64', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Input and Output,0.77', 'Data Structure,0.43', 'Input and Output,0.46', 'Geographic Information System ,0.73', 'Data Structure,0.59', 'Test,0.63', 'Big Data,0.64', 'Big Data,0.59'}"
51,commons,"{'Geographic Information System ,0.38', 'Parser,0.55', 'User Interface,0.44', 'Parser,0.45', 'Parser,0.46', 'Parser,0.44', 'Parser,0.68', 'Geographic Information System ,0.3', 'Data Structure,0.52', 'Software Development and IT Operations,0.57', 'Logging,0.84', 'Natural Language Processing,0.3', 'Database,0.53', 'User Interface,0.5', 'Software Development and IT Operations,0.53', 'Parser,0.47', 'Geographic Information System ,0.55', 'Data Structure,0.57', 'Parser,0.75', 'Database,0.49', 'Setup,0.45', 'Data Structure,0.4', 'Database,0.5', 'Big Data,0.33', 'Parser,0.64', 'Input and Output,0.62', 'Geographic Information System ,0.45', 'Data Structure,0.5', 'Input and Output,0.48', 'Software Development and IT Operations,0.44', 'Data Structure,0.39', 'Natural Language Processing,0.44', 'Software Development and IT Operations,0.41', 'Data Structure,0.37', 'Input and Output,0.65', 'Geographic Information System ,0.42', 'Parser,0.49', 'Logging,0.8'}"
52,configuration,"{'Setup,0.73', 'Setup,0.71', 'User Interface,0.71'}"
53,connector,"{'Geographic Information System ,0.67', 'Error Handling,0.53', 'Big Data,0.57', 'Multi Thread,0.41', 'Geographic Information System ,0.63', 'Input and Output,0.49', 'Data Structure,0.74', 'Data Structure,0.69', 'Data Structure,0.61', 'User Interface,0.41', 'Data Structure,0.55', 'Geographic Information System ,0.74', 'Input and Output,0.53', 'Error Handling,0.57', 'Data Structure,0.63', 'Data Structure,0.73', 'Input and Output,0.63', 'User Interface,0.57', 'User Interface,0.66', 'Error Handling,0.59', 'Software Development and IT Operations,0.33', 'Software Development and IT Operations,0.57', 'Setup,0.41', 'Multi Thread,0.51', 'User Interface,0.64', 'User Interface,0.58', 'Input and Output,0.44', 'Data Structure,0.41', 'Data Structure,0.57', 'Geographic Information System ,0.72', 'User Interface,0.65', 'Network,0.37', 'Database,0.51', 'User Interface,0.54', 'Geographic Information System ,0.79', 'Data Structure,0.6', 'Data Structure,0.54', 'Data Structure,0.7', 'User Interface,0.61', 'Input and Output,0.48', 'Data Structure,0.78', 'Geographic Information System ,0.71', 'Data Structure,0.65', 'User Interface,0.49', 'User Interface,0.62', 'Error Handling,0.58', 'Input and Output,0.6', 'Geographic Information System ,0.7', 'Data Structure,0.58', 'User Interface,0.47', 'User Interface,0.52', 'Geographic Information System ,0.73', 'User Interface,0.46', 'Geographic Information System ,0.65', 'Data Structure,0.59', 'Data Structure,0.75', 'Geographic Information System ,0.66'}"
54,controlsfx,"{'Software Development and IT Operations,0.73', 'Error Handling,0.61', 'Software Development and IT Operations,0.66', 'Input and Output,0.67', 'Geographic Information System ,0.63', 'User Interface,0.57', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.63', 'User Interface,0.56', 'User Interface,0.64', 'Input and Output,0.64', 'Geographic Information System ,0.62', 'Software Development and IT Operations,0.55', 'Software Development and IT Operations,0.59', 'Input and Output,0.54', 'Software Development and IT Operations,0.56', 'Data Structure,0.53', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Software Development and IT Operations,0.67'}"
